0.000000000000000000e+00,2.232934691487267198e-01,2.917794400709492475e+00,9.016047379811778506e-02,3.341837652573908635e+00,6.083088545148584103e+00,3.051432179802255451e+00
0.000000000000000000e+00,2.232934691487267198e-01,2.917794400709492475e+00,9.016047379811778506e-02,3.341837652573908635e+00,6.083088545148584103e+00,3.051432179802255451e+00
5.000000000000000104e-03,2.226105015619365690e-01,2.917381959811867098e+00,9.106739806931149483e-02,3.339590865695253097e+00,6.082890808999029453e+00,3.054053605660492554e+00
1.000000000000000021e-02,2.219298148960409944e-01,2.916967237919664058e+00,9.197637682093025291e-02,3.337342082294509460e+00,6.082695443112367428e+00,3.056673908918805083e+00
1.499999999999999944e-02,2.212514094158488931e-01,2.916550232083759742e+00,9.288741208857413667e-02,3.335091309397231640e+00,6.082502443644125734e+00,3.059293097866089273e+00
2.000000000000000042e-02,2.205752854124129747e-01,2.916130939347090223e+00,9.380050614642289342e-02,3.332838553979371898e+00,6.082311806747145333e+00,3.061911180638233532e+00
2.500000000000000139e-02,2.199014432029057775e-01,2.915709356744595304e+00,9.471566111032701796e-02,3.330583822967412733e+00,6.082123528571460547e+00,3.064528165430282058e+00
2.999999999999999889e-02,2.192298831305024565e-01,2.915285481303157233e+00,9.563287919014160088e-02,3.328327123238397522e+00,6.081937605264457147e+00,3.067144060301430386e+00
3.500000000000000333e-02,2.185606052877843986e-01,2.914859310041539420e+00,9.655216296662640085e-02,3.326068461619978045e+00,6.081754032970962065e+00,3.069758873303602087e+00
4.000000000000000083e-02,2.178936108990306431e-01,2.914430839970334031e+00,9.747351404612043801e-02,3.323807844890474872e+00,6.081572807833163452e+00,3.072372612435716022e+00
4.499999999999999833e-02,2.172288995030315917e-01,2.914000068091894047e+00,9.839693472125153606e-02,3.321545279778956861e+00,6.081393925990794536e+00,3.074985285642204413e+00
5.000000000000000278e-02,2.165664719122959991e-01,2.913566991400275974e+00,9.932242817521426403e-02,3.319280772965283344e+00,6.081217383580879599e+00,3.077596900828884152e+00
5.500000000000000028e-02,2.159063285685278166e-01,2.913131606881180335e+00,1.002499958426568971e-01,3.317014331080156531e+00,6.081043176738369915e+00,3.080207465841906966e+00
5.999999999999999778e-02,2.152484697923488233e-01,2.912693911511886835e+00,1.011796403617287454e-01,3.314745960705172134e+00,6.080871301595280443e+00,3.082816988490965748e+00
6.500000000000000222e-02,2.145928964412558704e-01,2.912253902261195293e+00,1.021113640982411475e-01,3.312475668372926840e+00,6.080701754281562010e+00,3.085425476531384881e+00
7.000000000000000666e-02,2.139396091573101122e-01,2.911811576089359033e+00,1.030451694410009222e-01,3.310203460567028522e+00,6.080534530924787795e+00,3.088032937675434297e+00
7.499999999999999722e-02,2.132886079949893876e-01,2.911366929948026261e+00,1.039810588019311199e-01,3.307929343722142868e+00,6.080369627650092923e+00,3.090639379591383129e+00
8.000000000000000167e-02,2.126398938063389921e-01,2.910919960780173454e+00,1.049190346162137411e-01,3.305653324224117728e+00,6.080207040580360101e+00,3.093244809899405645e+00
8.500000000000000611e-02,2.119934672130061593e-01,2.910470665520043188e+00,1.058590990276575411e-01,3.303375408409982672e+00,6.080046765836256029e+00,3.095849236175227226e+00
8.999999999999999667e-02,2.113493288612869336e-01,2.910019041093076630e+00,1.068012554626183719e-01,3.301095602568020482e+00,6.079888799536365518e+00,3.098452665948981721e+00
9.500000000000000111e-02,2.107074794220188119e-01,2.909565084415851821e+00,1.077455051870488401e-01,3.298813912937847981e+00,6.079733137796867304e+00,3.101055106706426034e+00
1.000000000000000056e-01,2.100679195904634755e-01,2.909108792396017495e+00,1.086918519318277321e-01,3.296530345710455556e+00,6.079579776731991458e+00,3.103656565888594621e+00
1.049999999999999961e-01,2.094306500862106735e-01,2.908650161932222922e+00,1.096402970723507897e-01,3.294244907028264002e+00,6.079428712453765371e+00,3.106257050893932892e+00
